iter	Passed	Remaining
863	1221	192
864	1222	190
865	1224	189
866	1226	188
867	1227	186
868	1228	185
869	1230	183
870	1231	182
871	1232	180
872	1233	179
873	1234	177
874	1235	176
875	1236	175
876	1238	173
877	1239	172
878	1240	170
879	1242	169
880	1243	167
881	1244	166
882	1245	165
883	1247	163
884	1248	162
885	1250	160
886	1251	159
887	1252	157
888	1254	156
889	1257	155
890	1258	153
891	1260	152
892	1261	151
893	1262	149
894	1263	148
895	1265	146
896	1266	145
897	1267	143
898	1269	142
899	1270	141
900	1271	139
901	1273	138
902	1274	136
903	1276	135
904	1277	134
905	1278	132
906	1279	131
907	1281	129
908	1282	128
909	1283	126
910	1285	125
911	1286	124
912	1287	122
913	1288	121
914	1290	119
915	1291	118
916	1292	117
917	1293	115
918	1295	114
919	1296	112
920	1297	111
921	1298	109
922	1300	108
923	1301	107
924	1302	105
925	1303	104
926	1304	102
927	1306	101
928	1307	99
929	1308	98
930	1309	97
931	1310	95
932	1311	94
933	1313	92
934	1315	91
935	1317	90
936	1318	88
937	1319	87
938	1321	85
939	1322	84
940	1323	82
941	1324	81
942	1325	80
943	1326	78
944	1328	77
945	1329	75
946	1330	74
947	1332	73
948	1333	71
949	1334	70
950	1335	68
951	1337	67
952	1338	65
953	1339	64
954	1340	63
955	1341	61
956	1342	60
957	1343	58
958	1344	57
959	1346	56
960	1347	54
961	1348	53
962	1349	51
963	1350	50
964	1351	49
965	1352	47
966	1353	46
967	1355	44
968	1356	43
969	1357	41
970	1359	40
971	1360	39
972	1361	37
973	1362	36
974	1363	34
975	1365	33
976	1366	32
977	1367	30
978	1368	29
979	1369	27
980	1370	26
981	1372	25
982	1373	23
983	1375	22
984	1376	20
985	1377	19
986	1378	18
987	1379	16
988	1380	15
989	1381	13
990	1382	12
991	1383	11
992	1384	9
993	1385	8
994	1387	6
995	1388	5
996	1390	4
997	1391	2
998	1392	1
999	1393	0
